national_number,birthdate,age,gender,age_category,company,full_name
96.12.21-139.76,1996-12-21,27,Male,0-38 Jeune,Chretien s a,Pauline Millet
87.01.24-305.65,1987-01-24,37,Male,0-38 Jeune,Levy mathieu sarl,Astrid Michaud
63.04.26-305.62,1963-04-26,60,Male,47-113 Senior,Leroux,Manon Mary
71.10.19-054.11,1971-10-19,52,Female,47-113 Senior,Perrot benard s a r l,Tristan Baudry
50.02.12-843.11,1950-02-12,74,Male,47-113 Senior,Chauvet sa,Chantal Toussaint
71.01.15-060.41,1971-01-15,53,Female,47-113 Senior,Diallo,Maryse Lamy
87.04.09-046.23,1987-04-09,36,Female,0-38 Jeune,Weiss s a,Gabrielle Benoit
66.04.06-927.85,1966-04-06,57,Male,47-113 Senior,Chretien allain et fils,Susanne Bonnet
61.08.09-263.04,1961-08-09,62,Male,47-113 Senior,Ledoux,Brigitte De Oliveira
77.11.13-406.91,1977-11-13,46,Female,43-46 À point,Petitjean,Joseph Payet
93.07.29-371.73,1993-07-29,30,Male,0-38 Jeune,Legros,Margot Lambert
46.06.01-831.12,1946-06-01,77,Male,47-113 Senior,Masse,Lucie Morin
82.12.13-280.37,1982-12-13,41,Female,39-42 Adulte,Verdier,Nicole Diaz
87.06.28-284.94,1987-06-28,36,Female,0-38 Jeune,Laporte,Paulette Marty
81.12.23-219.04,1981-12-23,42,Male,39-42 Adulte,Guilbert,Odette Goncalves
57.03.30-102.20,1957-03-30,66,Female,47-113 Senior,David millet sarl,Josette Breton
62.03.14-601.56,1962-03-14,62,Male,47-113 Senior,Normand noel sa,Louis Hamel
86.04.01-212.38,1986-04-01,37,Female,0-38 Jeune,Mahe sarl,Guillaume Dufour
61.03.26-999.07,1961-03-26,62,Male,47-113 Senior,Etienne pottier sa,Geneviève Chauvin
61.03.12-511.90,1961-03-12,63,Male,47-113 Senior,Labbe,Christelle Delaunay
69.12.18-515.20,1969-12-18,54,Male,47-113 Senior,Meunier s a r l,Victoire Baudry
55.07.01-038.36,1955-07-01,68,Female,47-113 Senior,Moulin,Tristan Guillot
66.08.04-507.10,1966-08-04,57,Male,47-113 Senior,Vallet,Philippine Jacquot
89.10.18-016.13,1989-10-18,34,Female,0-38 Jeune,Thibault simon sarl,Jean Brun
86.11.24-234.56,1986-11-24,37,Female,0-38 Jeune,Vidal,Suzanne Vallée
78.11.24-498.29,1978-11-24,45,Female,43-46 À point,Laine roy s a,Noémi Hervé
67.07.22-276.89,1967-07-22,56,Female,47-113 Senior,Guibert etienne s a s,Josette Guichard
54.12.04-807.33,1954-12-04,69,Male,47-113 Senior,Mallet,Susanne Merle
56.03.27-504.99,1956-03-27,67,Female,47-113 Senior,Maury,Isaac Ferreira
75.05.20-323.06,1975-05-20,48,Male,47-113 Senior,Grenier,Agathe Antoine
59.03.01-524.87,1959-03-01,65,Female,47-113 Senior,Ramos,Astrid Thierry
47.05.23-788.26,1947-05-23,76,Female,47-113 Senior,Legros,Denis Laine
75.10.13-544.63,1975-10-13,48,Female,47-113 Senior,Boucher perrin sa,Antoinette Pottier
87.08.04-874.55,1987-08-04,36,Female,0-38 Jeune,Hebert cousin sa,Timothée Olivier
97.02.03-413.29,1997-02-03,27,Male,0-38 Jeune,Durand,Juliette Cousin
91.04.23-695.08,1991-04-23,32,Male,0-38 Jeune,Pelletier,Dominique Blin
99.01.19-199.91,1999-01-19,25,Male,0-38 Jeune,Poirier,Adélaïde Bruneau
84.10.21-038.50,1984-10-21,39,Female,39-42 Adulte,Laroche,Thérèse Lemaître
65.12.13-735.38,1965-12-13,58,Male,47-113 Senior,Gosselin perrot s a s,Alexandre Pasquier
85.03.22-095.14,1985-03-22,38,Male,0-38 Jeune,Mary turpin sarl,Isaac Boulay
56.02.16-818.98,1956-02-16,68,Female,47-113 Senior,Carre s a,Marthe Leduc
96.01.07-613.32,1996-01-07,28,Male,0-38 Jeune,Da silva sa,Vincent Mercier
46.08.25-831.80,1946-08-25,77,Male,47-113 Senior,Cordier,Eugène Dumas
58.05.07-734.21,1958-05-07,65,Female,47-113 Senior,Perez vaillant sarl,Victor Ferrand
59.02.26-924.11,1959-02-26,65,Female,47-113 Senior,Munoz s a,Nicole Louis
47.04.05-391.95,1947-04-05,76,Male,47-113 Senior,Evrard bailly et fils,Henriette Martins
52.11.03-659.19,1952-11-03,71,Male,47-113 Senior,Da costa,Adrienne Barthelemy
49.09.27-176.04,1949-09-27,74,Female,47-113 Senior,Martin colas s a r l,Marc Bouvet
62.05.25-909.97,1962-05-25,61,Male,47-113 Senior,Georges s a s,Élodie Vidal
66.10.07-899.61,1966-10-07,57,Male,47-113 Senior,Dos santos,Rémy Allard
75.03.23-579.83,1975-03-23,48,Male,47-113 Senior,Moulin,Sabine Le Gall
94.08.23-078.22,1994-08-23,29,Female,0-38 Jeune,Laine ruiz et fils,Jules Vallée
89.03.11-102.29,1989-03-11,35,Female,0-38 Jeune,Payet,Thibaut Aubert
53.12.05-444.00,1953-12-05,70,Female,47-113 Senior,Faure s a s,Susan Petit
84.04.08-236.43,1984-04-08,39,Female,39-42 Adulte,Raynaud sarl,Michelle Grégoire
73.09.25-248.88,1973-09-25,50,Female,47-113 Senior,Duval s a r l,Édith David
74.05.25-073.09,1974-05-25,49,Male,47-113 Senior,Martin s a,Denise Guillou
63.04.09-874.58,1963-04-09,60,Female,47-113 Senior,Ledoux,Margaud Marchal
61.08.23-499.66,1961-08-23,62,Male,47-113 Senior,Renard,Timothée Leroy
58.02.01-750.35,1958-02-01,66,Female,47-113 Senior,Delannoy fischer sarl,Jérôme Dupuy
83.06.22-479.25,1983-06-22,40,Male,39-42 Adulte,Normand,Théodore Martin
75.06.27-886.78,1975-06-27,48,Female,47-113 Senior,Gautier,Margot Fleury
59.12.02-474.74,1959-12-02,64,Female,47-113 Senior,Joubert,Stéphane Perret
84.09.30-601.06,1984-09-30,39,Male,39-42 Adulte,Pereira,Valérie Pruvost
84.07.22-263.22,1984-07-22,39,Male,39-42 Adulte,Delattre,Jeannine Costa
85.12.01-473.36,1985-12-01,38,Male,0-38 Jeune,Descamps,Geneviève Petit
76.05.14-248.75,1976-05-14,47,Female,47-113 Senior,Couturier klein sarl,Élise Martin
90.10.07-751.64,1990-10-07,33,Male,0-38 Jeune,Vallet bouchet sarl,Victor Didier
72.06.07-204.18,1972-06-07,51,Female,47-113 Senior,Bazin,Honoré Pereira
95.02.26-843.21,1995-02-26,29,Male,0-38 Jeune,Leclerc et fils,Alfred Hamel
50.03.01-488.92,1950-03-01,74,Female,47-113 Senior,Lagarde,Marguerite Perret
88.05.25-288.10,1988-05-25,35,Female,0-38 Jeune,Deschamps s a s,Marine Cordier
86.09.08-536.26,1986-09-08,37,Female,0-38 Jeune,Ruiz barbier sa,Adrienne Lefort
49.04.05-713.80,1949-04-05,74,Male,47-113 Senior,Georges,Jeanne Dias
89.01.24-961.87,1989-01-24,35,Male,0-38 Jeune,Texier,Diane Gilbert
68.07.27-774.43,1968-07-27,55,Female,47-113 Senior,Leroy,Virginie Hubert
94.11.23-138.60,1994-11-23,29,Female,0-38 Jeune,Perrin s a,Margot Colin
81.01.09-614.68,1981-01-09,43,Female,43-46 À point,Marechal lebrun sa,Agnès Gallet
48.08.27-675.35,1948-08-27,75,Male,47-113 Senior,Vasseur,Aimée De Sousa
72.05.14-816.39,1972-05-14,51,Female,47-113 Senior,Vallet,Alice Thomas
46.08.06-538.81,1946-08-06,77,Female,47-113 Senior,Hebert s a s,Louis Barre
57.06.16-209.01,1957-06-16,66,Male,47-113 Senior,Dupuis,Maurice Barthelemy
52.09.27-870.22,1952-09-27,71,Female,47-113 Senior,Valette,Marine Gilbert
90.04.22-505.16,1990-04-22,33,Male,0-38 Jeune,Bruneau,Grégoire Joseph
90.09.02-461.01,1990-09-02,33,Male,0-38 Jeune,Roussel levy sa,Jules Nguyen
89.08.22-139.09,1989-08-22,34,Male,0-38 Jeune,Leroux,Alice Bertrand
77.12.30-990.11,1977-12-30,46,Female,43-46 À point,Leroy,Caroline Berthelot
59.03.27-912.77,1959-03-27,64,Female,47-113 Senior,Rolland de sousa s a,Catherine De Sousa
84.06.05-361.85,1984-06-05,39,Male,39-42 Adulte,Delattre,André Dufour
58.08.22-065.95,1958-08-22,65,Male,47-113 Senior,Perret,Michel Bernard
57.03.02-451.71,1957-03-02,67,Male,47-113 Senior,Pinto et fils,Timothée Leleu
95.09.27-272.77,1995-09-27,28,Female,0-38 Jeune,Poulain sa,Alix Turpin
86.12.11-666.13,1986-12-11,37,Female,0-38 Jeune,Rolland sa,Gilles Huet
74.06.14-992.00,1974-06-14,49,Female,47-113 Senior,Salmon legendre s a r l,Céline Lévy
46.10.17-219.14,1946-10-17,77,Male,47-113 Senior,Garcia,Marine Vaillant
90.04.19-302.45,1990-04-19,33,Female,0-38 Jeune,Gallet sarl,Amélie Jean
85.01.17-838.73,1985-01-17,39,Female,39-42 Adulte,David roux s a r l,Marianne Perret
65.03.04-158.64,1965-03-04,59,Female,47-113 Senior,Blondel,Antoinette Auger
77.07.05-773.72,1977-07-05,46,Male,43-46 À point,Neveu fernandes s a s,Odette Ferreira
69.09.27-858.01,1969-09-27,54,Female,47-113 Senior,Giraud,Nath Thibault
79.08.06-210.86,1979-08-06,44,Female,43-46 À point,Picard langlois s a,René Fournier
82.11.04-210.29,1982-11-04,41,Female,39-42 Adulte,Lopez s a r l,Arnaude Rodrigues
95.06.09-505.54,1995-06-09,28,Male,0-38 Jeune,Rocher huet s a r l,Nicole Martins
86.08.25-423.23,1986-08-25,37,Male,0-38 Jeune,Roche,Jules Voisin
55.08.02-593.15,1955-08-02,68,Male,47-113 Senior,Loiseau weiss s a s,Bertrand Lebon
46.10.07-915.65,1946-10-07,77,Male,47-113 Senior,Renault s a s,Claude Vasseur
94.08.09-963.83,1994-08-09,29,Male,0-38 Jeune,Meyer,Christiane Rey
75.03.17-043.98,1975-03-17,48,Male,47-113 Senior,Marchand,Marc Langlois
56.11.01-445.27,1956-11-01,67,Male,47-113 Senior,Michaud,Zacharie Breton
90.11.19-477.06,1990-11-19,33,Male,0-38 Jeune,Michaud,Michèle Diallo
97.07.08-860.48,1997-07-08,26,Female,0-38 Jeune,Chretien et fils,Rémy Nguyen
86.04.13-338.45,1986-04-13,37,Female,0-38 Jeune,Rolland martins s a,Jean Blondel
86.06.02-142.75,1986-06-02,37,Female,0-38 Jeune,Torres petitjean et fils,Jean Duval
98.03.23-167.10,1998-03-23,25,Male,0-38 Jeune,Dubois michel s a,Hélène Charles
66.10.05-490.63,1966-10-05,57,Female,47-113 Senior,Albert,Jérôme Marques
82.04.28-033.08,1982-04-28,41,Male,39-42 Adulte,Pinto ferreira s a s,Léon Ledoux
80.10.12-049.56,1980-10-12,43,Male,43-46 À point,Marchand,Éric Rossi
85.06.03-707.27,1985-06-03,38,Male,0-38 Jeune,Rey,Guy Roche
68.04.09-268.59,1968-04-09,55,Female,47-113 Senior,Grenier,Henriette Labbé
64.06.13-928.54,1964-06-13,59,Female,47-113 Senior,Allard,Honoré Auger
48.03.06-325.95,1948-03-06,76,Male,47-113 Senior,Diallo s a,Sabine Leduc
53.01.27-684.56,1953-01-27,71,Female,47-113 Senior,Ferreira francois et fils,Emmanuelle Maillet
79.05.20-145.75,1979-05-20,44,Male,43-46 À point,Fernandez s a r l,Alice Bonnin
49.12.21-217.58,1949-12-21,74,Male,47-113 Senior,Leleu,Élisabeth Henry
97.08.21-361.21,1997-08-21,26,Male,0-38 Jeune,Muller,Gabriel Alves
83.05.25-892.05,1983-05-25,40,Female,39-42 Adulte,Menard,Susanne Joseph
92.06.02-499.83,1992-06-02,31,Male,0-38 Jeune,Guichard,Antoinette Pascal
95.09.28-386.30,1995-09-28,28,Female,0-38 Jeune,Lesage vincent s a,Raymond Le Goff
46.09.07-668.95,1946-09-07,77,Female,47-113 Senior,Pichon martinez et fils,Suzanne Roger
68.03.20-508.80,1968-03-20,55,Female,47-113 Senior,Morvan,Jérôme Blanc
64.08.19-605.52,1964-08-19,59,Male,47-113 Senior,Morin clerc s a s,Michelle Girard
75.04.08-236.16,1975-04-08,48,Female,47-113 Senior,Marchand le gall sa,Gabrielle Nicolas
47.02.23-273.96,1947-02-23,77,Male,47-113 Senior,Leblanc maillard sa,Margaud Auger
63.08.27-264.91,1963-08-27,60,Female,47-113 Senior,Dupuy sa,Bernadette Potier
69.07.25-047.65,1969-07-25,54,Male,47-113 Senior,Legros munoz s a r l,Catherine Roche
93.08.09-532.56,1993-08-09,30,Female,0-38 Jeune,Gosselin,Brigitte Lesage
53.02.07-118.15,1953-02-07,71,Female,47-113 Senior,Peron s a,Dominique Blot
82.09.30-000.00,1982-09-30,41,Female,39-42 Adulte,Jourdan dubois s a r l,Thibault Legros
89.03.19-849.49,1989-03-19,34,Male,0-38 Jeune,Wagner,Suzanne Costa
60.04.29-468.93,1960-04-29,63,Female,47-113 Senior,Allard,Augustin Gaudin
71.12.06-635.78,1971-12-06,52,Male,47-113 Senior,Lombard s a s,Émilie Seguin
55.02.18-926.05,1955-02-18,69,Female,47-113 Senior,Paris,Agathe Chrétien
91.01.26-317.97,1991-01-26,33,Male,0-38 Jeune,Pruvost,Alexandre Techer
62.02.26-636.34,1962-02-26,62,Female,47-113 Senior,Marin,Stéphane Brunet
56.04.27-314.40,1956-04-27,67,Female,47-113 Senior,Gillet,Paul Legros
95.04.09-523.78,1995-04-09,28,Male,0-38 Jeune,Raymond s a r l,Georges Faivre
56.06.26-633.91,1956-06-26,67,Male,47-113 Senior,Maillet adam sarl,Anaïs Alves
83.10.09-583.37,1983-10-09,40,Male,39-42 Adulte,Deschamps,Auguste Ferreira
89.11.15-842.48,1989-11-15,34,Female,0-38 Jeune,Mathieu,Virginie Henry
66.06.26-354.11,1966-06-26,57,Female,47-113 Senior,Roussel,Luce Pierre
71.02.26-540.72,1971-02-26,53,Female,47-113 Senior,Cousin rolland s a r l,Thibaut Salmon
79.08.19-242.06,1979-08-19,44,Female,43-46 À point,Leconte roy s a s,Luc Perrier
81.01.21-885.30,1981-01-21,43,Male,43-46 À point,Hamon,Aimé Lemonnier
49.08.16-615.37,1949-08-16,74,Male,47-113 Senior,Prevost,Céline Delattre
83.11.29-288.95,1983-11-29,40,Female,39-42 Adulte,Salmon rodrigues et fils,Émilie Reynaud
70.11.20-789.80,1970-11-20,53,Male,47-113 Senior,Lefebvre,Jules Durand
66.11.04-731.07,1966-11-04,57,Male,47-113 Senior,Brunet,Margaret Allard
86.12.02-773.50,1986-12-02,37,Male,0-38 Jeune,Lebrun sarl,Auguste De Sousa
79.06.09-615.07,1979-06-09,44,Male,43-46 À point,Brunel,Thibaut Clément
96.11.22-815.30,1996-11-22,27,Male,0-38 Jeune,Peron,Christophe Foucher
87.04.02-487.68,1987-04-02,36,Male,0-38 Jeune,Raymond et fils,Thomas Dumont
87.02.07-409.20,1987-02-07,37,Male,0-38 Jeune,Lecomte,Joséphine Giraud
90.06.10-660.96,1990-06-10,33,Female,0-38 Jeune,Dubois s a s,Henri Hoareau
93.07.15-615.48,1993-07-15,30,Male,0-38 Jeune,Le goff et fils,David Laurent
92.12.29-091.11,1992-12-29,31,Male,0-38 Jeune,Launay,Émilie Bernard
93.05.30-894.00,1993-05-30,30,Female,0-38 Jeune,Chartier,Agnès Laine
74.10.28-781.67,1974-10-28,49,Male,47-113 Senior,Maillard sarl,Guy Gallet
56.05.17-497.53,1956-05-17,67,Male,47-113 Senior,Carpentier,Margaret Chevallier
73.06.22-325.18,1973-06-22,50,Male,47-113 Senior,Meunier,Adrien Sanchez
67.12.28-006.38,1967-12-28,56,Female,47-113 Senior,Riou,Margaux Monnier
91.09.08-428.90,1991-09-08,32,Female,0-38 Jeune,Richard,Bernadette Auger
77.09.30-416.58,1977-09-30,46,Female,43-46 À point,Royer,Capucine Techer
84.12.17-721.45,1984-12-17,39,Male,39-42 Adulte,Goncalves sa,Élise Lemaire
48.06.09-074.43,1948-06-09,75,Female,47-113 Senior,Dupuis,Lucy Clerc
87.05.29-158.89,1987-05-29,36,Female,0-38 Jeune,Le gall delaunay s a s,Camille Hamon
95.11.25-800.62,1995-11-25,28,Female,0-38 Jeune,Moreno,Nath Delorme
96.04.09-919.71,1996-04-09,27,Male,0-38 Jeune,Chauvet fleury s a,Anne Raynaud
91.12.24-118.90,1991-12-24,32,Female,0-38 Jeune,Mercier,Agnès Texier
74.07.23-788.43,1974-07-23,49,Female,47-113 Senior,Arnaud,Virginie Marty
82.06.02-348.07,1982-06-02,41,Female,39-42 Adulte,Maillot,Marthe Reynaud
64.12.26-029.64,1964-12-26,59,Male,47-113 Senior,Lemaitre s a,Vincent Voisin
96.03.04-474.24,1996-03-04,28,Female,0-38 Jeune,Valentin,William Leconte
65.04.04-854.24,1965-04-04,58,Female,47-113 Senior,Boyer s a r l,Timothée Huet
54.11.23-546.13,1954-11-23,69,Female,47-113 Senior,Gillet voisin s a r l,Nath Clément
77.09.16-474.17,1977-09-16,46,Female,43-46 À point,Mercier,Sabine Besson
72.02.01-241.27,1972-02-01,52,Male,47-113 Senior,Duhamel s a s,Christelle Roger
59.01.08-387.79,1959-01-08,65,Male,47-113 Senior,Daniel,Anaïs Carpentier
52.08.28-641.21,1952-08-28,71,Male,47-113 Senior,Ollivier,Agnès Leroy
60.04.26-658.64,1960-04-26,63,Female,47-113 Senior,Dos santos antoine s a r l,Arnaude Riou
86.02.10-055.62,1986-02-10,38,Male,0-38 Jeune,Leveque bertrand sarl,Philippe Bonneau
88.03.24-364.96,1988-03-24,35,Female,0-38 Jeune,Gilles moulin et fils,Marie Breton
92.09.14-762.31,1992-09-14,31,Female,0-38 Jeune,Thibault sa,Chantal Benard
94.07.23-146.67,1994-07-23,29,Female,0-38 Jeune,Fabre,Geneviève Gaudin
72.07.06-911.67,1972-07-06,51,Male,47-113 Senior,Daniel,Capucine Fernandes
68.07.07-314.81,1968-07-07,55,Female,47-113 Senior,Perrier pires s a s,Alex Leconte
90.03.11-510.78,1990-03-11,34,Female,0-38 Jeune,Nicolas,Sébastien Sauvage
76.05.18-747.89,1976-05-18,47,Male,47-113 Senior,Charrier bouvet s a r l,Jacqueline Carpentier
87.06.22-576.52,1987-06-22,36,Female,0-38 Jeune,Samson,Thomas Guillon
77.01.28-356.98,1977-01-28,47,Female,47-113 Senior,Bonnet,Margaux Hamon
88.03.27-310.73,1988-03-27,35,Female,0-38 Jeune,Marion sarl,Christelle Louis
67.04.13-811.64,1967-04-13,56,Male,47-113 Senior,Lebreton,Jeanne Aubry
96.01.06-221.99,1996-01-06,28,Male,0-38 Jeune,Lecomte,Stéphane Lelièvre
89.02.19-542.16,1989-02-19,35,Female,0-38 Jeune,Etienne,Simone Briand
74.03.30-748.59,1974-03-30,49,Female,47-113 Senior,Marechal,Joséphine Bourdon
84.01.11-933.29,1984-01-11,40,Male,39-42 Adulte,Dupont delmas s a s,Monique Imbert
71.03.16-795.45,1971-03-16,52,Male,47-113 Senior,Faivre legendre sa,David Lebrun
67.02.11-431.04,1967-02-11,57,Male,47-113 Senior,Clement s a,Gérard Ferrand
89.08.02-110.44,1989-08-02,34,Female,0-38 Jeune,Lebreton s a s,Jean Perrot
97.05.11-266.30,1997-05-11,26,Female,0-38 Jeune,Guillet michel s a,Henriette Chauvin
98.12.25-419.16,1998-12-25,25,Male,0-38 Jeune,Blanc et fils,Grégoire Laine
75.10.19-449.88,1975-10-19,48,Male,47-113 Senior,Remy,Henri Gérard
88.02.22-963.43,1988-02-22,36,Male,0-38 Jeune,Gaillard lejeune et fils,Alice Pierre
80.12.26-744.12,1980-12-26,43,Female,43-46 À point,Aubry,Marc Giraud
86.02.01-447.98,1986-02-01,38,Male,0-38 Jeune,Guyot,Louis Gallet
55.09.20-271.69,1955-09-20,68,Male,47-113 Senior,Remy,Lorraine Blanchet
98.04.21-696.78,1998-04-21,25,Female,0-38 Jeune,Traore herve sarl,Alexandre Lefebvre
95.08.01-198.92,1995-08-01,28,Female,0-38 Jeune,Tanguy et fils,Eugène Renaud
51.03.12-639.42,1951-03-12,73,Male,47-113 Senior,Aubry,Benjamin Carre
99.02.08-246.06,1999-02-08,25,Female,0-38 Jeune,Germain s a,Alphonse Guillon
47.12.25-070.52,1947-12-25,76,Female,47-113 Senior,Diallo,Patrick Dumont
96.12.15-077.32,1996-12-15,27,Male,0-38 Jeune,Poirier,Isabelle Colin
71.10.12-773.54,1971-10-12,52,Male,47-113 Senior,Evrard,Daniel Lopez
85.06.09-008.85,1985-06-09,38,Female,0-38 Jeune,Herve sa,Marcel Marchand
71.11.04-693.51,1971-11-04,52,Male,47-113 Senior,Guyon sarl,Théophile Leconte
85.07.16-774.78,1985-07-16,38,Female,0-38 Jeune,Legrand,Franck Michaud
46.03.13-244.60,1946-03-13,78,Female,47-113 Senior,Lambert boucher sarl,Bertrand Delaunay
72.08.08-861.79,1972-08-08,51,Male,47-113 Senior,Meyer,Clémence Rossi
53.01.24-722.55,1953-01-24,71,Female,47-113 Senior,Jacquot de sousa s a s,Xavier Coste
84.05.03-519.67,1984-05-03,39,Male,39-42 Adulte,Masse,Adèle Roussel
63.01.03-495.65,1963-01-03,61,Male,47-113 Senior,Lebreton,Jacqueline Étienne
78.10.05-858.75,1978-10-05,45,Female,43-46 À point,David,Laetitia Gomes
88.08.10-300.91,1988-08-10,35,Female,0-38 Jeune,Menard leroux s a s,Julien Martins
51.01.07-491.97,1951-01-07,73,Male,47-113 Senior,Paris,Thibault Barthelemy
56.02.24-730.54,1956-02-24,68,Female,47-113 Senior,Collin s a,Pierre Reynaud
55.08.29-876.65,1955-08-29,68,Female,47-113 Senior,Lacombe,Xavier Pons
64.12.04-072.27,1964-12-04,59,Female,47-113 Senior,Michaud,Margaud Denis
74.06.14-585.10,1974-06-14,49,Male,47-113 Senior,Collin s a s,Daniel Lecoq
78.06.27-555.87,1978-06-27,45,Male,43-46 À point,Brunel,Éric Salmon
67.10.24-203.39,1967-10-24,56,Male,47-113 Senior,Merle,Augustin Rey
66.08.28-691.42,1966-08-28,57,Male,47-113 Senior,Roger,Maurice Paris
95.07.28-623.38,1995-07-28,28,Male,0-38 Jeune,Peron sa,Jacqueline Tanguy
53.11.15-744.91,1953-11-15,70,Female,47-113 Senior,Barbe,Richard Chauveau
65.06.10-721.86,1965-06-10,58,Male,47-113 Senior,Blin,Joseph Delaunay
55.08.02-749.85,1955-08-02,68,Male,47-113 Senior,Bonnet sauvage s a s,Dominique Delahaye
60.10.30-394.95,1960-10-30,63,Female,47-113 Senior,Bertin s a s,Émile Ferreira
81.10.04-516.70,1981-10-04,42,Female,39-42 Adulte,Francois sarl,Aimé Morin
76.05.18-347.68,1976-05-18,47,Male,47-113 Senior,Chretien,Léon Martins
89.09.17-755.68,1989-09-17,34,Male,0-38 Jeune,Pottier,Emmanuel Descamps
87.08.24-632.56,1987-08-24,36,Female,0-38 Jeune,Gonzalez,Christiane Lebrun
76.03.28-217.57,1976-03-28,47,Male,47-113 Senior,Caron,Margaux Courtois
53.01.19-889.18,1953-01-19,71,Male,47-113 Senior,Delahaye noel s a r l,Théophile Petitjean
78.08.29-211.95,1978-08-29,45,Male,43-46 À point,Pires,Émile Gérard
91.02.02-159.71,1991-02-02,33,Male,0-38 Jeune,Schmitt,Joseph Robin
98.06.24-888.23,1998-06-24,25,Female,0-38 Jeune,Guillou,Matthieu Leroux
69.09.09-848.33,1969-09-09,54,Female,47-113 Senior,Guibert s a s,Charles Richard
55.06.13-473.55,1955-06-13,68,Male,47-113 Senior,Michaud,Michelle Lucas
95.12.17-082.73,1995-12-17,28,Female,0-38 Jeune,Guillou,Sébastien Morvan
49.08.18-773.28,1949-08-18,74,Male,47-113 Senior,Vincent,Nicolas Mendès
46.06.04-911.58,1946-06-04,77,Male,47-113 Senior,Marin s a,Claudine Fournier
56.08.16-889.09,1956-08-16,67,Male,47-113 Senior,Delattre s a r l,Antoinette Evrard
93.06.13-651.58,1993-06-13,30,Male,0-38 Jeune,Seguin,Sylvie Gimenez
92.04.03-525.45,1992-04-03,31,Male,0-38 Jeune,Lefevre s a s,Odette Simon
65.04.27-410.96,1965-04-27,58,Female,47-113 Senior,Monnier,Camille Huet
83.12.25-359.97,1983-12-25,40,Male,39-42 Adulte,David diaz sarl,Corinne Dupré
57.06.17-362.36,1957-06-17,66,Female,47-113 Senior,Renault,Isabelle Caron
63.08.05-360.70,1963-08-05,60,Female,47-113 Senior,Antoine paul s a r l,Hortense Boutin
86.04.18-883.00,1986-04-18,37,Male,0-38 Jeune,Dumont traore sarl,Cécile Dumas
86.06.27-655.60,1986-06-27,37,Male,0-38 Jeune,Andre fournier s a s,Rémy Baron
56.02.07-639.46,1956-02-07,68,Male,47-113 Senior,Gallet et fils,Odette Blanchard
56.09.16-914.59,1956-09-16,67,Female,47-113 Senior,Dupre,Robert Meyer
53.01.18-670.51,1953-01-18,71,Female,47-113 Senior,Duval sarl,Jeannine Pierre
87.09.18-618.08,1987-09-18,36,Female,0-38 Jeune,Bouchet,Paulette Diaz
96.12.11-068.64,1996-12-11,27,Female,0-38 Jeune,Pages s a,Émilie Lagarde
50.05.19-368.64,1950-05-19,73,Female,47-113 Senior,Bonnin,Monique Huet
66.01.07-125.47,1966-01-07,58,Male,47-113 Senior,Turpin,Valentine Blanc
72.12.06-101.54,1972-12-06,51,Male,47-113 Senior,Letellier,Susanne Guillet
77.05.04-208.13,1977-05-04,46,Female,43-46 À point,Remy delaunay s a r l,Richard Traore
48.05.04-451.73,1948-05-04,75,Male,47-113 Senior,Leblanc,Jérôme Regnier
67.02.02-280.00,1967-02-02,57,Female,47-113 Senior,Peltier collet sa,Laurent Michel
93.02.24-661.11,1993-02-24,31,Male,0-38 Jeune,Gros,Christine Lesage
51.09.01-913.81,1951-09-01,72,Male,47-113 Senior,Guibert,Susanne Huet
49.10.01-002.53,1949-10-01,74,Female,47-113 Senior,Bertin,Célina Boyer
69.08.17-591.14,1969-08-17,54,Male,47-113 Senior,Marie chevallier s a r l,Isabelle Thibault
81.03.24-921.51,1981-03-24,42,Male,39-42 Adulte,Maillot,Inès Rocher
59.06.16-462.03,1959-06-16,64,Female,47-113 Senior,Boutin s a,Astrid Hardy
91.08.23-483.45,1991-08-23,32,Male,0-38 Jeune,Fournier,Virginie Roussel
65.03.30-987.85,1965-03-30,58,Male,47-113 Senior,Besson,Franck Besnard
73.02.01-937.42,1973-02-01,51,Male,47-113 Senior,Martinez,Henri Bouvet
50.03.14-544.11,1950-03-14,74,Female,47-113 Senior,Berger,Constance Gimenez
59.04.17-173.96,1959-04-17,64,Male,47-113 Senior,Julien,Louise Prévost
50.09.29-329.90,1950-09-29,73,Male,47-113 Senior,Besnard mercier s a s,Marguerite Durand
75.01.15-466.94,1975-01-15,49,Female,47-113 Senior,Ledoux besson sarl,Marianne Weiss
61.01.15-566.28,1961-01-15,63,Female,47-113 Senior,Guyot leroy sarl,Laetitia Pereira
69.09.03-338.61,1969-09-03,54,Female,47-113 Senior,Vallet s a,Léon Lebon
72.11.02-112.01,1972-11-02,51,Female,47-113 Senior,Voisin herve sarl,Valentine Baron
64.09.28-714.20,1964-09-28,59,Female,47-113 Senior,Bonneau,Thibault Perrot
96.01.27-288.72,1996-01-27,28,Female,0-38 Jeune,Paris s a r l,Jules Michel
96.08.27-599.48,1996-08-27,27,Male,0-38 Jeune,Hebert le roux sa,Audrey Alves
60.11.13-849.93,1960-11-13,63,Male,47-113 Senior,Jean,Jeannine De Oliveira
55.05.22-667.19,1955-05-22,68,Male,47-113 Senior,Bertin,Claire Fernandez
70.06.16-294.11,1970-06-16,53,Female,47-113 Senior,Leroux julien et fils,Alain Chauvet
67.12.08-841.38,1967-12-08,56,Male,47-113 Senior,Poirier s a,Sébastien Carre
